Substrate: Consolidated (hard) (SC),2106,16,3,78,34,50,2,5,3,0,0,1
Macroalgae: Erect coarse br... (MAEC),10,495,4,0,0,15,2,0,3,0,0,0
Molluscs: Bivalves (MOB),1,0,366,1,3,1,0,1,0,0,0,0
Macroalgae: Encrusting (MAEN),182,9,8,104,6,31,0,0,1,0,0,0
Macroalgae: Filamentous / f... (MAF),58,0,1,5,218,2,8,4,0,0,0,0
Crustacea: Barnacles (CRB),21,19,4,0,0,210,0,0,0,0,0,0
Macroalgae: Sheet-like / me... (MAS),3,2,2,0,10,3,119,0,0,0,0,0
Macroalgae: Articulated cal... (MAA),1,0,1,1,4,2,3,41,0,0,0,0
Unclear (Unc),17,10,1,0,0,0,0,0,3,0,0,0
Molluscs: Gastropods (MOG),9,0,1,0,0,8,0,0,0,1,0,0
Worms: Polychaetes: Tube worms (WPOT),9,0,0,0,0,0,1,0,0,0,0,0
Macroalgae: Large canopy-fo... (MALCB),1,1,0,0,0,1,0,0,0,0,0,0
